Which of the following best describes you?,Others Specify_Which of the following best describes you?,responsible research Practices_q1,na_responsible research Practices_q1,responsible research Practices_q2,na_responsible research Practices_q2,responsible research Practices_q3,na_responsible research Practices_q3,responsible research Practices_q4,na_responsible research Practices_q4,responsible research Practices_q5,na_responsible research Practices_q5,responsible research Practices_q6,na_responsible research Practices_q6,responsible research Practices_q7,na_responsible research Practices_q7,responsible research Practices_q8,na_responsible research Practices_q8,responsible research Practices_q9,na_responsible research Practices_q9,responsible research Practices_q10,na_responsible research Practices_q10,responsible research Practices_q11,na_responsible research Practices_q11,responsible research Practices_q12,na_responsible research Practices_q12,responsible research Practices_q13,na_responsible research Practices_q13,responsible research Practices_q14,na_responsible research Practices_q14,responsible research Practices_q15,na_responsible research Practices_q15,responsible research Practices_q16,na_responsible research Practices_q16,responsible research Practices_q17,na_responsible research Practices_q17,responsible research Practices_q18,na_responsible research Practices_q18,responsible research Practices_q19,na_responsible research Practices_q19,responsible research Practices_q20,na_responsible research Practices_q20,fair research practices_q1,na_fair research practices_q1,fair research practices_q2,na_fair research practices_q2,fair research practices_q3,na_fair research practices_q3,fair research practices_q4,na_fair research practices_q4,fair research practices_q5,na_fair research practices_q5,fair research practices_q6,na_fair research practices_q6,fair research practices_q7,na_fair research practices_q7,fair research practices_q8,na_fair research practices_q8,fair research practices_q9,na_fair research practices_q9,fair research practices_q10,na_fair research practices_q10,fair research practices_q11,na_fair research practices_q11,fair research practices_q12,na_fair research practices_q12,fair research practices_q13,na_fair research practices_q13,fair research practices_q14,na_fair research practices_q14,fair research practices_q15,na_fair research practices_q15,fair research practices_q16,na_fair research practices_q16,fair research practices_q17,na_fair research practices_q17,fair research practices_q18,na_fair research practices_q18,fair research practices_q19,na_fair research practices_q19,fair research practices_q20,na_fair research practices_q20,Which country are you from?,other_Which country are you from?,What discipline of global health based describes you:,other_What discipline of global health based describes you:,What is you gender?,other_gender,How many years of involvement in research do you have?,What is your highest academic rank?,other_What is your highest academic rank?,How best do you describe your current role?,other_How best do you describe your current role?,May we contact you for a follow-up interview?,You may leave your email address here:
Researcher from the Global South,,Never,,Frequently,,Very Rarely,,Never,,Very Frequently,,Frequently,,Very Rarely,,Never,,Always,,Rarely,,Never,,Always,,Always,,Always,,Rarely,,N/A,,N/A,,Always,,Always,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Very Frequently,,Always,,Very Frequently,,Very Frequently,,Always,,N/A,,Very Rarely,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Always,,Very Frequently,,N/A,,Always,,Always,,Always,,Sub-Saharan Africa,,Biology/Medicine,,Female,,Mid-career (3-10 years post-education),PhD degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global South,,Never,,Always,,Occasionally,,Never,,Rarely,,Always,,Never,,Never,,Frequently,,Never,,Never,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Always,,Frequently,,Always,,Always,,Never,,Always,,Never,,Always,,Frequently,,Occasionally,,Occasionally,,Occasionally,,Very Frequently,,Very Frequently,,Always,,Sub-Saharan Africa,,Biology/Medicine,,Female,,Established (>10 years post-education),Other (please specify),MD Doctor of medicine,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global South,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global North,,Never,,N/A,no errors ,Rarely,,Rarely,,Rarely,,N/A,qualitative researcher - iterative tool development,Never,,Never,,Occasionally,,Rarely,,Never,,Always,,Always,,Always,,N/A,,Rarely,confidentiality and sensitivity restrictions qual data,Very Frequently,,Never,,Never,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Very Frequently,,Always,,Frequently,,Very Frequently,,Always,,Always,,Never,,Always,,Never,,Never,,Very Frequently,,Always,,Always,,Frequently,,Always,,Very Frequently,,Very Frequently,,Europe and Central Asia,,Sociology/Anthropology,,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Researcher,,No,
Researcher from the Global South,,N/A,i did disclose,Never,,Always,,Never,,Never,,Always,,Never,,Never,,N/A,,Never,,Never,,Always,,Always,,Always,,Never,,Occasionally,,Frequently,,Frequently,,Always,,Always,,Never,,Never,,Frequently,,Always,,Always,,Always,,Always,,Always,,Always,,Rarely,,Always,,Never,,Never,,Always,,Very Frequently,,Frequently,,N/A,,Always,,Always,,Always,,Sub-Saharan Africa,ul,Other (please specify),psychology,Female,,Mid-career (3-10 years post-education),PhD degree,,Researcher,,Yes,
Prefer not to disclose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,N/A,I have no found errors in my published work ,Rarely,,Rarely,,Rarely,,Very Frequently,,Very Rarely,,Very Rarely,,Very Rarely,,Occasionally,,Very Rarely,,Frequently,,Frequently,,Very Frequently,,Very Rarely,,Very Frequently,,Very Frequently,,Very Rarely,,Very Rarely,,Frequently,,Rarely,,Occasionally,,Very Frequently,,Very Frequently,,Always,,Frequently,,Frequently,,Always,,Frequently,,Rarely,,Very Frequently,,Very Rarely,,Rarely,,Frequently,,Rarely,,Very Rarely,,Very Rarely,,Frequently,,Very Frequently,,Rarely,,East Asia and Pacific,Universitas Gadjah Mada,Political sciences/Health economics,,Male,,Mid-career (3-10 years post-education),PhD degree,,Researcher,,No,
Researcher from the Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other (please specify),Sudan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,Always,,Never,,Never,,Never,,Always,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Never,,Always,,N/A,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Frequently,,Frequently,,Frequently,,Never,,East Asia and Pacific,,Biostatistics/Epidemiology,,Male,,Early Career (< 3 years post-education),Postdoc or Assistant Professor,,Other (please specify),Assistant Professor,No,
Researcher from the Global South,,Never,,Very Frequently,,Never,,Never,,Very Rarely,,Rarely,,Occasionally,,Never,,Never,,Very Rarely,,Never,,Frequently,,Very Rarely,,Always,,Never,,Very Rarely,,Never,,Rarely,,Rarely,,Frequently,,Frequently,,Occasionally,,Very Frequently,,Frequently,,Frequently,,Frequently,,Frequently,,Very Frequently,,Very Frequently,,Never,,Very Frequently,,Very Rarely,,Never,,Rarely,,Occasionally,,Very Rarely,,Very Rarely,,Very Frequently,,Always,,Occasionally,,Sub-Saharan Africa,University of Calabar ,Biology/Medicine,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Researcher,,Yes,
Researcher from the Global South,,Never,,Always,,Very Rarely,,Very Rarely,,Very Rarely,,Very Frequently,,Never,,Never,,Always,,Very Rarely,,Never,,Always,,Always,,Always,,Never,,Very Frequently,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Very Rarely,,Very Rarely,,Always,,Always,,Very Frequently,,Always,,Very Frequently,,Always,,Always,,Very Rarely,,Very Frequently,,Always,,Never,,Very Frequently,,Very Frequently,,Very Rarely,,Very Rarely,,Always,,Always,,Very Frequently,,South Asia,,Biology/Medicine,,Male,,Mid-career (3-10 years post-education),PhD degree,,Research manager   (I manage one or more research projects),,Yes,
Researcher from the Global South,,Never,,Always,,Never,,Occasionally,,Very Rarely,,Never,,Occasionally,,Occasionally,,N/A,,Rarely,,Rarely,,Very Frequently,,Always,,Frequently,,Never,,Very Frequently,,Very Frequently,,Never,,Very Rarely,,Very Frequently,,Very Rarely,,Always,,N/A,,Occasionally,,Very Rarely,,Occasionally,,Very Frequently,,Always,,N/A,,N/A,,Very Rarely,,Occasionally,,Rarely,,Never,,Never,,Never,,Never,,Very Frequently,,Very Frequently,,Never,,Sub-Saharan Africa,University of Zambia (UNZA),Biostatistics/Epidemiology,,Male,,Mid-career (3-10 years post-education),Bachelor or Master degree,,Researcher,,Yes,
Researcher from the Global South,,Never,,N/A,,Never,,Never,,Never,,Always,,Never,,Never,,N/A,,Never,,Never,,Always,,Always,,Always,,Never,,Always,,N/A,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,N/A,,Never,,Very Frequently,,Never,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Very Rarely,,Sub-Saharan Africa,,Other (please specify),Public Health,Female,,Mid-career (3-10 years post-education),Postdoc or Assistant Professor,,Researcher,,No,
Researcher from the Global South,,Very Rarely,,Always,,Never,,Never,,Very Rarely,,Very Frequently,,Never,,Never,,Very Rarely,,Frequently,,Rarely,,Always,,Very Frequently,,Very Frequently,,Very Rarely,,Frequently,,Very Rarely,,Frequently,,Frequently,,Always,,Very Rarely,,Very Frequently,,Frequently,,Frequently,,Frequently,,Always,,Occasionally,,Always,,Always,,Rarely,,Always,,Rarely,,Frequently,,Very Rarely,,Rarely,,Very Rarely,,Rarely,,Always,,Occasionally,,Frequently,,Sub-Saharan Africa,University of Health and Allied Sciences,,,Male,,Early Career (< 3 years post-education),Bachelor or Master degree,,Research manager   (I manage one or more research projects),,Yes,
Researcher from the Global South,,Never,,Always,,Always,,Always,,Never,,Always,,Always,,Always,,Never,,Always,,Never,,Always,,Always,,Always,,Always,,Occasionally,,N/A,I did not used programming code in the last three years,Never,,Never,,Always,,Never,,Never,,Very Frequently,,Very Frequently,,Very Frequently,,Always,,Very Frequently,,Always,,Always,,Never,,Very Frequently,,Always,,Very Rarely,,Occasionally,,Occasionally,,Frequently,,Frequently,,Always,,Occasionally,,Rarely,,Sub-Saharan Africa,CSRS,Biostatistics/Epidemiology,,Male,,Mid-career (3-10 years post-education),PhD degree,,Researcher,,Yes,
Other (please specify),Researcher from Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,N/A,,Never,,Never,,Very Rarely,,Always,,Never,,Never,,Very Rarely,,Very Rarely,,Never,,Always,,Very Frequently,,Always,,Never,,Very Rarely,,Never,,Never,,Never,,Always,,Very Rarely,,Never,,Always,I am a local researcher but where we were working with partners yes ,Always,whenever there were research partners ,Always,,Very Frequently,when we were working with partners ,Always,when relevant,Always,,Always,we work with students in the DRC supporting students research - in this case they obtain local clearance - but this is not my research ,N/A,I am a local researcher ,Always,Always use field workers from local community ,Never,,Never,,Occasionally,,Frequently,we usually provide feedback to local communities by holding meetings for the community,Very Rarely,,Very Rarely,,Always,,Always,,Never,,Sub-Saharan Africa,UKZN,Biology/Medicine,,Female,,Established (>10 years post-education),PhD degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global South,,Never,,Always,,Very Rarely,,Very Frequently,,Never,,Always,,Very Rarely,,Always,,Very Rarely,,Never,,Never,,Always,,Rarely,,Always,,Occasionally,,Very Frequently,,Very Frequently,,Very Rarely,,Very Rarely,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Always,,Very Frequently,,Always,,Always,,Always,,Always,,Very Rarely,,Always,,Never,,Never,,Very Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Always,,Frequently,,Always,,South Asia,KEM Hospital Research Centre,Prefer not to disclose,,Male,,Established (>10 years post-education),Bachelor or Master degree,,Research manager   (I manage one or more research projects),,Yes,
Researcher from the Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefer not to disclose,,Never,,Always,,Never,,Never,,Never,,Always,,Never,,Never,,Frequently,,Very Rarely,,Never,,Always,,Frequently,,Always,,N/A,,Very Frequently,,Frequently,,Very Rarely,,Never,,Always,,N/A,,N/A,,Very Frequently,,Always,,Always,,Always,,Always,,Always,,Always,,Very Rarely,,Always,,Never,,Never,,N/A,,N/A,,N/A,,Always,,Always,,Always,,N/A,,Prefer Not To Disclose,,Prefer not to disclose,,Prefer not to disclose,,Prefer not to disclose,PhD degree,,Prefer not to disclose,,No,
Researcher from the Global South,,Never,,Always,,Never,,Never,,Never,,Always,,Never,,Never,,Always,,Never,,Never,,Always,,Very Frequently,,Always,,Never,,Always,,Always,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Always,,Always,,Very Frequently,,Always,,Always,,Always,,Always,,Sub-Saharan Africa,University of Calabar ,Biology/Medicine,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global North,,N/A,I haven't been involved with research in the last 3 years,N/A,,N/A,,N/A,,Occasionally,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Sub-Saharan Africa,University of Limpopo,Prefer not to disclose,,Female,,Prefer not to disclose,Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global South,,Never,,Frequently,,Very Rarely,,Very Rarely,,Rarely,,Always,,Never,,Never,,Very Rarely,,Rarely,,Never,,Always,,Frequently,,Always,,Never,,Never,,Never,,Very Rarely,,Never,,Always,,Very Rarely,,Frequently,,Occasionally,,Occasionally,,Frequently,,Frequently,,Frequently,,Always,,N/A,,Occasionally,,Frequently,,Never,,Frequently,,Never,,Never,,Very Rarely,,Very Rarely,,Very Frequently,,Very Frequently,,Never,,East Asia and Pacific,,Biology/Medicine,,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global North,,Never,"Complicated question, and I am not sure if my answer is correct: I always disclose, so I never not disclose- correct?",Always,,Never,"Same problem as q1: I always give sufficient attention, so I never give insufficient attention",Never,Same as above,Never,Same as above,Always,,Rarely,,Never,,N/A,Most of my work is qualitative and this does not need registration,Frequently,,Never,"I always mentioned, so I never did not mention",Occasionally,,Very Frequently,,Always,,Never,,Occasionally,,Occasionally,,Never,I always mention these,Never,I always mention these,Always,,Rarely,"I do this most of the time, so rarely I do not do this",Very Rarely,see above,Always,,Always,,Always,,Always,,Always,,Very Frequently,,Always,,Never,,Always,,Never,Always done so never not done,Very Rarely,,Rarely,,Rarely,,Very Frequently,,Occasionally,,Very Frequently,,Very Frequently,,Never,,Europe and Central Asia,,Other (please specify),Health Systems research,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global South,,N/A,I have not published anything ,N/A,I have not published yet,Never,,Never,,Never,,Always,,Never,,N/A,I have not gotten to this stage yet,Never,,Never,,Never,,Very Frequently,,N/A,Not published yet,Always,,Always,,N/A,Still in the process of writing,N/A,Research still in progress,Never,,Never,,N/A,Not released yet,Never,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Always,,Never,,Always,,Always,,Prefer not to respond,,Occasionally,,N/A,I am not sure if this happened,Sub-Saharan Africa,,Sociology/Anthropology,,Female,,Mid-career (3-10 years post-education),Bachelor or Master degree,,Research manager   (I manage one or more research projects),,Yes,
Researcher from the Global South,,Very Rarely,,Always,,Never,,Never,,Never,,Always,,Never,,Never,,Very Frequently,,Never,,Never,,Always,,Very Frequently,,Always,,Never,,Very Frequently,,N/A,where ever necessary or asked for,Never,,Never,,Always,,Never,,Never,,Frequently,where ever required,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Always,,Always,,N/A,,Always,,Always,,Always,,Always,,South Asia,KEM Hospital Research Centre,Biostatistics/Epidemiology,,Female,,Established (>10 years post-education),Bachelor or Master degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Prefer not to disclose,,Never,,Never,,Never,,Very Rarely,,Never,,Rarely,,Rarely,,Very Rarely,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Very Rarely,,Never,,Very Rarely,,Never,,Very Rarely,,Never,,Very Rarely,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,East Asia and Pacific,,Biostatistics/Epidemiology,,Male,,Prefer not to disclose,Bachelor or Master degree,,Prefer not to disclose,,No,
Researcher from the Global South,,Never,,Never,,Never,,Never,,Never,,Very Rarely,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,East Asia and Pacific,,Biostatistics/Epidemiology,,Female,,Prefer not to disclose,Bachelor or Master degree,,Prefer not to disclose,,No,
Researcher from the Global South,,Never,,N/A,Did not happened to me yet,Never,,Very Rarely,,Rarely,,Rarely,But I always wrote SOP for each of the steps of the study,Never,,Rarely,,Never,,Very Frequently,,Never,,Very Frequently,,Always,,Always,,Frequently,,Always,,N/A,Only reused program codes and cited the authors,Occasionally,,Frequently,,Very Frequently,,Frequently,,Rarely,,Always,,Always,,Very Frequently,,Always,,Occasionally,,Very Frequently,,Always,,Never,,Very Frequently,,Never,,Rarely,,Occasionally,,Occasionally,,Frequently,,Frequently,,Always,,Never,,Never,,Sub-Saharan Africa,CSRS,Biology/Medicine,,Female,,Established (>10 years post-education),Postdoc or Assistant Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global South,,Never,,N/A,no such instance occurred,Never,,Never,,Very Rarely,,Always,,Never,,Never,,Always,,Very Rarely,,Never,,Always,,Always,,Very Frequently,,N/A,situation did not occur,Always,,N/A,programming codes were not used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,N/A,had never found errors in my published articles,Never,,Very Rarely,,N/A,had none under my supervision in last 3 years,Always,,Rarely,,Never,,Rarely,,Very Frequently,,Never,,Always,,Always,,Always,,Never,,Never,,N/A,never had code or syntaxes,Always,,Very Rarely,,Always,,Very Rarely,,Very Rarely,,Frequently,,Occasionally,,Very Frequently,,Rarely,,Frequently,,Always,,Always,,Rarely,,Very Frequently,,Very Rarely,,Very Frequently,,Very Rarely,,Never,,Never,,Never,,Always,,Always,,N/A,had never made my data openly accessible,East Asia and Pacific,UGM,Other (please specify),"primary health care, program implementation / evaluation",Female,,Early Career (< 3 years post-education),PhD degree,,Researcher,,Yes,
